Type,Brand,Series,Button,Label,Notes,IR Base64,IR Hex
AVRECEIVER,Emotiva,UMC 200,MODE NEXT,,,JgBYAAABJpQTEhEUExEUERITEzYTERMSFDYTNhM2EzYTNhMSEjcTEhI3ExITEhI3EjcUERISFRATEhM2EjcTEhITEzYTNhM2EwAFSwABKEgTAAxOAAEpRhQADQU=,2600580000012694131211141311141112131336131113121436133613361336133613121237131212371312131212371237141112121510131213361237131212131336133613361300054b0001284813000c4e0001294614000d05
AVRECEIVER,Emotiva,UMC 200,MODE PREV,,,JgBQAAABKJETEhMSFBETERQRFjMUERMSEzYSNxM2EzYUNRQRFjQTEhE4ExITERITFDUTEhISFBEUERI3EzcSNxMSEjcTNhM2EwAFSwABJkkUAA0FAAAAAAAAAAA=,2600500000012891131213121411131114111633141113121336123713361336143514111634131211381312131112131435131212121411141112371337123713121237133613361300054b0001264914000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,PRESET NEXT,,,JgBQAAABKZETEhUQExITERUQFTQVEBMRFTQTNhY0EzYTNhUQFTQVEBM2ExITNhM2EzcTERUQFBETERU0FRAVEBMSEzYTNhM3EwAFSgABKUcTAA0FAAAAAAAAAAA=,2600500000012991131215101312131115101534151013111534133616341336133615101534151013361312133613361337131115101411131115341510151013121336133613371300054a0001294713000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,PRESET PREV,,,JgBQAAABJpQTEhQREhMSEhMSFDUUERISFDMVNxI3EzYTNhMSFDUTEhI4EjcTEhE2FREUERQREhITEhMSEjcTEhI4EjcTNhM2EwAFSwABJUoTAA0FAAAAAAAAAAA=,2600500000012694131214111213121213121435141112121433153712371336133613121435131212381237131211361511141114111212131213121237131212381237133613361300054b0001254a13000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,STEREO,Stereo,,JgBQAAABJ5MTEhUQFRASEhUQFTQUERMRFjMUNRQ2EzYTNhQRFTQWDxYzFDUUERMSFTQTEhUQEhIVEBUQFTQUNBUREzYVNRQ1FAAFSQABJ0kTAA0FAAAAAAAAAAA=,2600500000012793131215101510121215101534141113111633143514361336133614111534160f1633143514111312153413121510121215101510153414341511133615351435140005490001274913000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,TUNER TOGGLE,,,JgBQAAABJ5QUEBMSFRARExUQFTQTEhITEjcUNRM2EzcUNRMRFDUTEhM2FTUSNxMSERMSExMSEhMTERUQFRASNxM2FDUTNxQ1EwAFSgABKUcTAA0FAAAAAAAAAAA=,2600500000012794141013121510111315101534131212131237143513361337143513111435131213361535123713121113121313121213131115101510123713361435133714351300054a0001294713000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,VOLUME CENTER DOWN,,,JgBQAAABKJIUEBUQFBESExQRFDUTEhEUFDUUNRQ1FDUUNRQRFDUTEhITERMVEBU0EhMTEhM2FBAUNRM3EzYSExM2EjcTEhI3FAAFSgABJkkUAA0FAAAAAAAAAAA=,2600500000012892141015101411121314111435131211141435143514351435143514111435131212131113151015341213131213361410143513371336121313361237131212371400054a0001264914000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,VOLUME CENTER UP,,,JgBQAAABJpUUEBUQFBESEhMSEzYTEhITEzYUNhQ1EzYTNhQQFTQTEhQ2ExISNxMREhMSExM2ExIUEBM2ExITNxM2EzYTEhE4FAAFSgABJUoTAA0FAAAAAAAAAAA=,2600500000012695141015101411121213121336131212131336143614351336133614101534131214361312123713111213121313361312141013361312133713361336131211381400054a0001254a13000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,VOLUME REAR DOWN,,,JgBQAAABKpEUEBQREhMSEhUQFDUTEhQREjgTNhI3FDUTNhQQFTQTExI3EjcSExE4FDUTERUQFRAVEBISFDYSExQRETYUNxE4EwAFSwABJkoUAA0FAAAAAAAAAAA=,2600500000012a91141014111213121215101435131214111238133612371435133614101534131312371237121311381435131115101510151012121436121314111136143711381300054b0001264a14000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,VOLUME REAR UP,,,JgBQAAABKJIUEBUQFRASExQQFTUTEhMSETgUNRQ1FDUUNRQRFDUTEhITFDUUERE4FDUUEBUQFRASNxMSEzYTEhITFDUUNBU1FAAFSgABKUcUAA0FAAAAAAAAAAA=,2600500000012892141015101510121314101535131213121138143514351435143514111435131212131435141111381435141015101510123713121336131212131435143415351400054a0001294714000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,VOLUME SUB DOWN,,,JgBYAAkADHAAASiSExITEhMSExISEhI3FRASExM2EzYTNhM3EjcTERQ1EhMSExQREhIUERQRFQ8WNBMSEzYVNBI3FTIVNhU0ExMVNBIAA10MAAHiAAEoSRIADQU=,2600580009000c7000012892131213121312131212121237151012131336133613361337123713111435121312131411121214111411150f16341312133615341237153215361534131315341200035d0c0001e20001284912000d05
AVRECEIVER,Emotiva,UMC 200,VOLUME SUB UP,,,JgBUAAABKZITEhMSExITEhETFDUTEhITEzYTNhM2EzcSNxMREjcSExMSFDUUERI3EzcSEhM2EhMTNhITEjcTERQRFDUTExI3EwAFSgABKEkTAAEiDAANBQAAAAA=,2600540000012992131213121312131211131435131212131336133613361337123713111237121313121435141112371337121213361213133612131237131114111435131312371300054a00012849130001220c000d0500000000
AVRECEIVER,Emotiva,UMC 200,VOLUME SURROUND DOWN,,,JgBQAAABKJIUERITExITEhISEjcTEhUQETgTNhQ1EzYUNhMSETgUEBUQFTQTEhISFRAVEBI3ExMROBISFTQTNhM2FDUTEhU1EwAFSgABKUgTAA0FAAAAAAAAAAA=,2600500000012892141112131312131212121237131215101138133614351336143613121138141015101534131212121510151012371313113812121534133613361435131215351300054a0001294813000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,VOLUME SURROUND UP,,,JgBQAAABKJMTEhMRFBEUERETEjcTEhQREjcTNhM3EzYTNhMSEjcTERQRFBESNxMSExITEhE0FxIROBM2ExEUNRY0EjcTEhM2FAAFSgABKEgTAA0FAAAAAAAAAAA=,2600500000012893131213111411141111131237131214111237133613371336133613121237131114111411123713121312131211341712113813361311143516341237131213361400054a0001284813000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,VOLUME UP,Up,,JgBQAAABKpEVEBQQFRAVEBQQFjMVEBYPFjQUNRQ1FTQVNBUQFDUVEBU0FDUVEBU0FRAUEBU0Fg8WDxYPFDUUERU0FDUVEBUyFwAFSQABKUcVAA0FAAAAAAAAAAA=,2600500000012a911510141015101510141016331510160f163414351435153415341510143515101534143515101534151014101534160f160f160f143514111534143515101532170005490001294715000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,VOLUME DOWN,Down,,JgBYAAABKpEVEBQQFg8VEBQRFDUVDxYPFjQUNRU0FTQVNBUQFDUVEBU0FDUVNBU0FRAWDxQ1FRAUERUQFRATERUxGDQVEBU0FQAFSQABKUYWAAxMAAEoSBQADQU=,2600580000012a9115101410160f151014111435150f160f1634143515341534153415101435151015341435153415341510160f1435151014111510151013111531183415101534150005490001294616000c4c0001284814000d05
AVRECEIVER,Emotiva,UMC 200,CURSOR UP,,,JgBYAAABKJIUERUQFBAVEBUQFDUVEBQQFjMVNRQ1FDUVNBUQFjMVEBQQFjMVNRQRFTQUERQRFBAVNBUQFg8UNRUQFTQUNRQ1FQAFSAABKUgVAAxMAAEoRxUADQU=,260058000001289214111510141015101510143515101410163315351435143515341510163315101410163315351411153414111411141015341510160f14351510153414351435150005480001294815000c4c0001284715000d05
AVRECEIVER,Emotiva,UMC 200,CURSOR DOWN,,,JgBYAAABKJIVDxYPFg8UEBYPFjMVEBQSEzYUNRQ1FDUVNBUPFjQUERUQEzYUEBUQFTQVEBQRFBAWMxYPFjMVNRQREzYUNRU0FAAFSgABKEcVAAxNAAEoSBQADQU=,2600580000012892150f160f160f1410160f16331510141213361435143514351534150f16341411151013361410151015341510141114101633160f1633153514111336143515341400054a0001284715000c4d0001284814000d05
AVRECEIVER,Emotiva,UMC 200,CURSOR LEFT,,,JgBQAAABKpEUERQQFRAVEBQQFTQWDxYPFDUVNRQ1FDUUNRUQFDUVDxYzFTUVNBUQFTQVEBQQFRAVEBQRFBAWMxURFTQUNRU0FQAFSAABKkcUAA0FAAAAAAAAAAA=,2600500000012a91141114101510151014101534160f160f1435153514351435143515101435150f16331535153415101534151014101510151014111410163315111534143515341500054800012a4714000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,CURSOR RIGHT,,,JgBYAAABKpAVEBQRFRAVEBMRFTQVEBUQFDUUNRU0FTQVNRQRFDUUEBUQFRAUNRU0FQ8WDxYPFBEUNhQ1FBAVEBU0FTQVNBU0FQAFSQABKkMXAAxNAAEpRxUADQU=,2600580000012a9015101411151015101311153415101510143514351534153415351411143514101510151014351534150f160f160f1411143614351410151015341534153415341500054900012a4317000c4d0001294715000d05
AVRECEIVER,Emotiva,UMC 200,CURSOR ENTER,Ok,,JgBQAAABKJEVEBQRFBAWDxYPFDUVEBUQFTQVNBU0FTQVNBUQFDUVERMRFRAVEBQ1FDUUEBUQFRAUNRU0FTUUERQQFTQVNBU0FQAFSgABKEcVAA0FAAAAAAAAAAA=,2600500000012891151014111410160f160f1435151015101534153415341534153415101435151113111510151014351435141015101510143515341535141114101534153415341500054a0001284715000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,BACK,Back,,JgBQAAABKJAWEBQRFBAWDxYPFDUUERUQFTQVNBU0FTQVNBUQFDYUERQQFRAVNBUQFDUVDxYPFg8UNRU1FBEUNRQQFTQVNBU0FgAFSQABKUYVAA0FAAAAAAAAAAA=,2600500000012890161014111410160f160f1435141115101534153415341534153415101436141114101510153415101435150f160f160f14351535141114351410153415341534160005490001294615000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,EXIT,Exit,,JgBQAAABKJEVEBYPFBAWDxYPFDYUEBUQFTQVNBU0FTQWMxURFTQUERQ1FBAVNBU0Fg8WDxQ1FRAVEBU0FRAVEBQ1FDUUEBYzFQAFSAABKkcVAA0FAAAAAAAAAAA=,26005000000128911510160f1410160f160f143614101510153415341534153416331511153414111435141015341534160f160f14351510151015341510151014351435141016331500054800012a4715000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,MENU,Menu,,JgBYAAABKZAWEBUQFBAVEBUQFDUUERQQFjMVNRU0FTQVNBUQFjMVEBQ0FREVNBUQFTQVEBQRFBAVEBU0FRAUNRUQFTQVNBU0FQAFSQABKUcVAAxMAAEoRxUADQU=,260058000001299016101510141015101510143514111410163315351534153415341510163315101434151115341510153415101411141015101534151014351510153415341534150005490001294715000c4c0001284715000d05
AVRECEIVER,Emotiva,UMC 200,MUTE TOGGLE,Mute,,JgBQAAABKJMVDxUQFRATERUQFjMVEBMSEzYTNxQ1FDUUNRUPFjMVEBYPFDYTERU0FRAVEBM2FRAUNRQQFjMVERU0FDUUERM2FAAFSQABKEgVAA0FAAAAAAAAAAA=,2600500000012893150f151015101311151016331510131213361337143514351435150f16331510160f143613111534151015101336151014351410163315111534143514111336140005490001284815000d050000000000000000
PROJECTOR,Epson,Home Cinema,POWER ON,On,Projector,JgDYAAABKZEWMhcyFg4VDxYOFg4WDhYzFjIVDxYyFg4VMxYOFjIXDhUPFQ8WDhYOFjMVDxUPFTIWMxYyFjIWMhcOFTMWMhUPFQAFgQABKJIWMxYyFQ8VDhYOFg8VDxUzFjIXDRYzFg4WMhUPFjIWDhYOFg4WDhYPFTMWDhYOFjIXMhYyFTIXMhYOFjIWMhcOFQAFgAABKpAXMhYyFg4WDhYPFQ8VDxYyFTMWDhUzFg4WMhcOFTMWDhYOFg4WDxUPFTIWDhYOFjMWMhYyFjMWMhYOFTIXMhYOFgANBQ==,2600d8000001299116321732160e150f160e160e160e16331632150f1632160e1533160e1632170e150f150f160e160e1633150f150f15321633163216321632170e15331632150f150005810001289216331632150f150e160e160f150f15331632170d1633160e1632150f1632160e160e160e160e160f1533160e160e16321732163215321732160e16321632170e1500058000012a9017321632160e160e160f150f150f16321533160e1533160e1632170e1533160e160e160e160f150f1532160e160e16331632163216331632160e15321732160e16000d05
PROJECTOR,Epson,Home Cinema,POWER OFF,Off,,JgDYAAABKpEWMhYyFRAUEBQQFBAVDxUzFzITERUyFw4UNBYOFDQWDhU0Fg4UEBQQFTMUERUOFDQWDhU0FjIUNBYOFTQWMhQPFgAFgQABJ5MWMhYzExEVDhUPFg4WDhU0FjIWDhYyFw4VMxQQFTMWDhQ0Fg4WDhYOFjMWDhUPFTMWDhYzFDMWMhcOFTIXMhYOFQAFgQABKpAXMhYyFg4VDxYOFg4WDxUzFDMXDhUzFg4VMxYOFjMWDhUzFg4WDhYPFTIWDhYOFjMWDhUzFjIXMhYOFTIWMhcOFQANBQ==,2600d80000012a91163216321510141014101410150f1533173213111532170e1434160e1434160e1534160e1410141015331411150e1434160e153416321434160e15341632140f1600058100012793163216331311150e150f160e160e15341632160e1632170e153314101533160e1434160e160e160e1633160e150f1533160e163314331632170e15321732160e1500058100012a9017321632160e150f160e160e160f15331433170e1533160e1533160e1633160e1533160e160e160f1532160e160e1633160e153316321732160e15321632170e15000d05
PROJECTOR,Epson,Home Cinema,ASPECT,,,JgDYAAABKJIVMxU0FBATERMRFBAUEBcyFDQTERQ0FBATNRUPEzUVEBMREzUVDxM1FBETERQPFjIVNBQQEzUTERQ1FDQUNBMQFwAFfwABJ5QXMRU0ExATERQQFBEUEBQ0FTMVDxQ1FBATNRMRFDQUEBMREzUVEBM1FBATERYOFDUTNRMRFDMVEBM1FDQUNBUQEwAFggABKJIXMhQ0Fg4WDhQRFBATERM1EzUUEBM1FQ8TNRUQEzUUEBMREzUUERM0FQ8UEBQREzUUNBUPFDUTERM1EzQUNRQQEwANBQ==,2600d800000128921533153414101311131114101410173214341311143414101335150f1335151013111335150f133514111311140f1632153414101335131114351434143413101700057f00012794173115341310131114101411141014341533150f143514101335131114341410131113351510133514101311160e143513351311143315101335143414341510130005820001289217321434160e160e1411141013111335133514101335150f13351510133514101311133514111334150f1410141113351434150f14351311133513341435141013000d05
PROJECTOR,Epson,Home Cinema,Auto,,,JgDYAAABKZIVMxYyFg8VDxMRExETERQ0FjMSEhM0Fg4VNBUPFDQVDxYPEzUUNBM1EzAaDxQQFjIVNBUPExETERMRFDQTNhMQEwAFgwABKJMUNBUzExETERQQExEUEBQ1FDQUEBQ0FRATNRMRFDMVEBQQEzUVMxU0FDQUEBMREzUUNBQQFQ8UEBQREzUUNBUPFQAFgQABKJIVMxU0FBATERMRFg4UERQ0FTIVDxQ1FBAUNBUPFDQVEBMREzUTNBU0FDQVDxQRFDQUNBUPFBAUERMREzQVMxUQEwANBQ==,2600d8000001299215331632160f150f1311131113111434163312121334160e1534150f1434150f160f13351434133513301a0f141016321534150f131113111311143413361310130005830001289314341533131113111410131114101435143414101434151013351311143315101410133515331534143414101311133514341410150f1410141113351434150f150005810001289215331534141013111311160e141114341532150f143514101434150f1434151013111335133415341434150f141114341434150f14101411131113341533151013000d05
PROJECTOR,Epson,Home Cinema,COLOR MODE,,,JgDYAAABKJIVNBUzFg4VDxUPFg8VDxM1FDQTERUzFQ8UNBYOFjMVDxM1FjIVNBM0FQ8WDxUPFTMUEBYOFg4UERQ0FDQTNRQQEwAFggABKZIVNBQ0ExAUERMRExETERM1FjMVDxM1Fg4VMxMSFDMVDxM1FjMUNBYyFg8TERMRFDQTEBQRExETERM1FjIWMxUPFQAFgAABKZEWMxUzFg8VDxQQFQ8WDhUzEzUUEBQ0Fg4WMxUPFTMVDxU0EzQWMhYzFQ8TERMREzUVEBUPFQ8TERUzFDQVMxUPFQANBQ==,2600d8000001289215341533160e150f150f160f150f1335143413111533150f1434160e1633150f1335163215341334150f160f150f15331410160e160e141114341434133514101300058200012992153414341310141113111311131113351633150f1335160e153313121433150f1335163314341632160f1311131114341310141113111311133516321633150f150005800001299116331533160f150f1410150f160e1533133514101434160e1633150f1533150f1534133416321633150f1311131113351510150f150f1311153314341533150f15000d05
PROJECTOR,Epson,Home Cinema,CURSOR ENTER,,,JgDYAAABKJMUNBQ0FQ8UERMRExETERM1FTMUERM0FQ8UNRQQEzUVDxMRFDUUEBQ0ExEUNBQQEzUVMxUQEzUUEBM1FQ8UNBQQEwAFggABKJQUNBM1ExETERMRExETERM1FTQUEBQ0FQ8UNRMRFDMVDxQREzUUEBQ0FQ8UNRQQEzUTNRQQEzUVDxQ0FRATNRQQEwAFgwABKJIVMxU0FBATERQQFBATERQ1EzQVDxM1FRAUNBQQFjIVEBMREzUTERQ0FBATNRUPEzUVNBQQEzUVDxQ0FBATNRUPFAANBQ==,2600d8000001289314341434150f14111311131113111335153314111334150f143514101335150f1311143514101434131114341410133515331510133514101335150f14341410130005820001289414341335131113111311131113111335153414101434150f143513111433150f1411133514101434150f143514101335133514101335150f14341510133514101300058300012892153315341410131114101410131114351334150f133515101434141016321510131113351311143414101335150f1335153414101335150f143414101335150f14000d05
PROJECTOR,Epson,Home Cinema,FREEZE,,,JgDYAAABKZEWMhcyFg4TERYOExEUEBQ1FjISEhUzFg4TNRYOEzUXDhMREzUWDhMRFDUSERMREzUXMhYOEzUWMhcOEzUSNRYOFAAFggABKZIWMhM1Fg4TERQQFBETERM1FjIWDhQ1Fg4TNRUPFjIWDhMREzUWDhQREzUWDhMREzUXMhIREzUXMhMREzUWMhcOEwAFggABKo0aMhYyFg4UEBQRExETERUyFjMWDhM1Fg4TNRcOEzUWDhMREzUTERMREzUWDhQQFDUTNRYOFDQXMhISFTIXMhYOEwANBQ==,2600d8000001299116321732160e1311160e131114101435163212121533160e1335160e1335170e13111335160e131114351211131113351732160e13351632170e13351235160e140005820001299216321335160e131114101411131113351632160e1435160e1335150f1632160e13111335160e14111335160e131113351732121113351732131113351632170e1300058200012a8d1a321632160e141014111311131115321633160e1335160e1335170e1335160e13111335131113111335160e141014351335160e14341732121215321732160e13000d05
PROJECTOR,Epson,Home Cinema,INPUT HDMI 1,HDMI1,,JgDYAAABKJIWMxUzFQ8UEBUQExAVEBM1FTMTERM1FQ8TNRUQEzUVDxM1FTQSEhQQFDMVNBQ0FQ8TERQQFDUUNBUPFBAUEBQ0FQAFgAABKZMUNBUyFRATERQQExAWDxM1FTQVDxM1FQ8UNRISFDMVDxQ1FDQVDxMREzUVNBI2FQ4UERMREzUVMxUPFBETERM1FQAFgAABKZIVMxUzFRATERMRExEUEBQ0FDQVDxM1FRATNRUPEzUVDxQ1EjUVDxQRFDQUNBUzFRATERQQEzUTNBUQExEVDxM1FQANBQ==,2600d8000001289216331533150f14101510131015101335153313111335150f133515101335150f1335153412121410143315341434150f1311141014351434150f1410141014341500058000012993143415321510131114101310160f13351534150f1335150f143512121433150f14351434150f1311133515341236150e1411131113351533150f1411131113351500058000012992153315331510131113111311141014341434150f133515101335150f1335150f14351235150f14111434143415331510131114101335133415101311150f133515000d05
PROJECTOR,Epson,Home Cinema,INPUT HDMI 2,HDMI2,,JgDYAAABKJIUNhM3ExISExITERQSEhI4EjgTEhE4ExIRORMSETgTEhI4EzcTNhMSEjgTNxM2ExMRExMSExITNxITEhITEhE5EwAFNwABKJAWNxM3ExESExITEhIUERI4EzcTERQ2ExISOBMSEzcSExE5EjcSOBMSEzcTNhM3ExITEhISFBETNxMRFBETEhM3EwAFNwABKJMTNxM3ExIRFBETEhMRFBE5EzQVEhI4ExITNhMSEjgTERQ2EzcTNxMSEzYUNxI4EhITEhMSEhMSNxITERQRFBE4EwANBQ==,2600d800000128921436133713121213121311141212123812381312113813121139131211381312123813371336131212381337133613131113131213121337121312121312113913000537000128901637133713111213121312121411123813371311143613121238131213371213113912371238131213371336133713121312121214111337131114111312133713000537000128931337133713121114111312131114113913341512123813121336131212381311143613371337131213361437123812121312131212131237121311141114113813000d05
PROJECTOR,Epson,Home Cinema,MEMORY,,,JgDYAAABKJMUNBUzFQ8UERYOExETERM1FTMUEBM1FQ8UNRQQEzUVDxM1FDQUEBM1FRATERMRFjIVDxQQFDUUEBYyEzQVNBQQEwAFgwABKJMVMhUzFRAWDhMRFg4TERQ1FDQUEBYyFBAUNBQQEzUVEBM1FDQVDxM2FBATERMRFDMVEBMRFDQVDxM1FTQUNBUPFAAFggABKJIVMxU0FBAUEBQQFBAUEBUzFDQVDxQ1FBATNRUPEzUUERM0FTMVEBM1FBATERMRFDQVEBMRFjITERQ0FDQVMxUPFAANBQ==,2600d8000001289314341533150f1411160e131113111335153314101335150f143514101335150f13351434141013351510131113111632150f14101435141016321334153414101300058300012893153215331510160e1311160e131114351434141016321410143414101335151013351434150f13361410131113111433151013111434150f133515341434150f1400058200012892153315341410141014101410141015331434150f143514101335150f13351411133415331510133514101311131114341510131116321311143414341533150f14000d05
PROJECTOR,Epson,Home Cinema,PIP SWAP,,,JgDYAAABKJMUNBUzFQ8UERMRExETERUzFDMVEBQ0FQ8VMhgOFDQWDhUPFTQTERQPFQ8UEBYPEzUUNBUPFDUUNBQ0EzUWMBYQFAAFggABKJMTNBUzFRAUEBQQFg4VDxU0FDQUEBYyFBETNBYOFTMVEBMRFjIVDxYOFBAWDxMRFjAVNBcOFDQUNBUzFTQUNBUPFQAFgQABKJIWMhU0FQ8UEBUPFBATERQ0FjIXDRU0FBAWMhYOFTMUERMREjUVDxUQExEWDhMRFDQVNBYOFDQTNRQ0FjIVMxUQFAANBQ==,2600d8000001289314341533150f14111311131113111533143315101434150f1532180e1434160e150f15341311140f150f1410160f13351434150f143514341434133516301610140005820001289313341533151014101410160e150f153414341410163214111334160e1533151013111632150f160e1410160f131116301534170e14341434153315341434150f150005810001289216321534150f1410150f1410131114341632170d153414101632160e1533141113111235150f15101311160e131114341534160e14341335143416321533151014000d05
PROJECTOR,Epson,Home Cinema,PIP TOGGLE,,,JgDYAAABKZEVMxYzFQ8WDhYKGg4UEBU0FTIWCxoyFBAWMhYOFjIWDxYyFTIWDhYzFTMVDxcNFzIVDxYOFDQWDhUQFDMVMxQQFAAFggABKZIWMhM1FBAWDhcNFBEWDhYyFTMUEBQ1FQsXNBYLGjIVDxM1FjIUERYyEzUWDRQRFjITERQQFDUUEBUPFTMVMxQREgAFgwABKZEUNRUzFQ8VDxMSFA8WDhYyFjMTERUzFg4WMhQRFTMVDBgyFDUTERUzFjIWDxYOFjIVDxMRFTMVDxYOFDQWMxULFwANBQ==,2600d8000001299115331633150f160e160a1a0e141015341532160b1a3214101632160e1632160f16321532160e16331533150f170d1732150f160e1434160e15101433153314101400058200012992163213351410160e170d1411160e1632153314101435150b1734160b1a32150f13351632141116321335160d141116321311141014351410150f153315331411120005830001299114351533150f150f1312140f160e1632163313111533160e163214111533150c18321435131115331632160f160e1632150f13111533150f160e14341633150b17000d05
PROJECTOR,Epson,Home Cinema,ROTATE,,,JgDYAAABKZEWMxUxGA4TERQRExETERQzFTQUEBQ0FQ8WMhUQEzUUEBYyEzUVDxMRExEUEBQRFDQUEBUPFTMWMxUzEjUVNBQQFAAFgQABKJQTNBUzFRAUEBMRExETERM1FjMUEBM1ExEUNBQQEzUVDxQ1FTMVDxUPFQ8UERQQEjUVDxUPFTQVMxYyFjMVMxISFAAFfwABKJUVMxYzFQ8UEBQQEhEUEBQ1FDQWDhUzFRAVMxUPFTMTEhQzFDQWDhUQFQ8UEBMREzUVDxYPEzUSNRYzFDQVMxYOFQANBQ==,2600d8000001299116331531180e13111411131113111433153414101434150f163215101335141016321335150f131113111410141114341410150f1533163315331235153414101400058100012894133415331510141013111311131113351633141013351311143414101335150f14351533150f150f150f141114101235150f150f1534153316321633153312121400057f0001289515331633150f141014101211141014351434160e153315101533150f1533131214331434160e1510150f141013111335150f160f13351235163314341533160e15000d05
PROJECTOR,Epson,Home Cinema,SLEEP,,,JgDYAAABKZEWMhU0FQ8WDhYOExEWDhM1FjIWDhYzFQ8VMxYOFjIWDxQ0EzQWMxULGjITERYOFjMVDxMRFg4TNRQREjUWMhYOFgAFgAABKJMUNBUzFg4WDhYLGQ8TERUzFjIUEBYzEhEWMhYPEzUWDhYyFjIWMxYOEjUWDxUPFTMWDhYOFg4WMxULFzUWMhQREgAFgwABJpQWMxUzExEUEBMSExAUEBYyFjMVDxUzFQ8TNRUQFTMTERM0FTQUNBUPFTMVEBQQFDQTERMRExITNBUPFTMVNBQQFAANBQ==,2600d8000001299116321534150f160e160e1311160e13351632160e1633150f1533160e1632160f143413341633150b1a321311160e1633150f1311160e1335141112351632160e160005800001289314341533160e160e160b190f1311153316321410163312111632160f1335160e163216321633160e1235160f150f1533160e160e160e1633150b1735163214111200058300012694163315331311141013121310141016321633150f1533150f1335151015331311133415341434150f15331510141014341311131113121334150f15331534141014000d05
PROJECTOR,Epson,Home Cinema,ZOOM IN,,,JgDYAAABKZEWMhYzFgsaDRcOFg4UEBM0FDUTERYyFBAUNBQOFjUTERQQExETERUzFBAUEBcNFjMTNRM1FDUTERQ0FTIWMxMRFgAFfwABKZMVMhUzFg8WDhYOFQ8WDhYyFjMVDxUzFg4WMhUPFjIUEBcOFg4WDhYyFg4WDhcNFjMVMhYzFTMVDxUzFjMVMxUPFQAFgAABKZIVMxYzFQ8UEBQOFw4WCxkzFTMVDxYyFg8VMxUMGDMWDhULGg4WDhUxGA4WDxYOFTMWMhYzFTMVDhYzFTMVMxYOFwANBQ==,2600d8000001299116321633160b1a0d170e160e1410133414351311163214101434140e16351311141013111311153314101410170d1633133513351435131114341532163313111600057f0001299315321533160f160e160e150f160e16321633150f1533160e1632150f16321410170e160e160e1632160e160e170d1633153216331533150f153316331533150f150005800001299215331633150f1410140e170e160b19331533150f1632160f1533150c1833160e150b1a0e160e1531180e160f160e1533163216331533150e163315331533160e17000d05
PROJECTOR,Epson,Home Cinema,ZOOM OUT,,,JgDYAAABKJMUNBQ0FQ8UERMRFBATERQzFTQUEBM1FQ8UNRQQFDQVDxM1Fg8TEBM1FQ8WDxMRFDQUEBM1FTQUEBI2FTIVNBQQEwAFggABKJQVMhUzFRATERMRFBAUEBQ0FTQUEBM1ExETNRQQFjIVDxQ1FBAWDhYyFQ8UERMREzQVDxU0FDQUEBM1FTQUNBUPFAAFggABJpQVMxU0ExEUEBQPFBAWDxMzFTUVDxQ1FBATNRUPEzUUEBQ0FQ8UEBQ1FBATERMREzUVEBM1EzQVDxQ1FDIXMxUPFAANBQ==,2600d8000001289314341434150f14111311141013111433153414101335150f143514101434150f1335160f13101335150f160f13111434141013351534141012361532153414101300058200012894153215331510131113111410141014341534141013351311133514101632150f14351410160e1632150f141113111334150f153414341410133515341434150f14000582000126941533153413111410140f1410160f13331535150f143514101335150f133514101434150f141014351410131113111335151013351334150f143514321733150f14000d05
MUSICPLAYER,Audionote,CDT 2,PREVIOUS,Prev,,JgBgAAABKZIVNBU0FRATMxYSFRASExI3ExISEhM2ExIUNRU0FTMVERM3ExETEhMSExITERI3EzYVEBQ1FDQVNhU0EzYTEhMREwAFJwABKEgTAAxOAAEmSRQADE0AASdJEwANBQAAAAAAAAAA,260060000001299215341534151013331612151012131237131212121336131214351534153315111337131113121312131213111237133615101435143415361534133613121311130005270001284813000c4e0001264914000c4d0001274913000d050000000000000000
MUSICPLAYER,Audionote,CDT 2,NEXT,Next,,JgBkAAABKZETNhM2ExIVNBYPExEWDxY0FRAVEBI3ExEVMxYyFzQWDxYPExIVEBUQFRASEhU0FTQTNhU0FDYTNhU0EzYVEBMSEwAFJgABKUcVAAxMAAEoSBMAAxIIAAkzAAEoSRMADQUAAAAA,26006400000129911336133613121534160f1311160f16341510151012371311153316321734160f160f131215101510151012121534153413361534143613361534133615101312130005260001294715000c4c0001284813000312080009330001284913000d0500000000
