Type,Brand,Series,Button,Label,Notes,IR Base64,IR Hex
TV,LG,LG2,POWER ON,Power,LG2,JgBQAAABIpQTEhITETgUEhMTExETEhQRFTURNxwSEzcSNxI3EzcSNxITExITEhU0EhQRFRMRERQVNRA4EjgTEhM3ETgTNxI3FQAFIAABJ0sRAA0FAAAAAAAAAAA=,260050000001229413121213113814121313131113121411153511371c12133712371237133712371213131213121534121411151311111415351038123813121337113813371237150005200001274b11000d050000000000000000
TV,LG,LG2,SOURCE,Source,LG2,JgBQAAABJ5IXDxMREzUUERMQExAUEBMREzYTNRMTEjYWMxQ1FzIUNRczFDUWDhQ0EhMVDxUPExETERMREzQXDhQ0EzUTNRM2FgAFFwABKkgUAA0FAAAAAAAAAAA=,2600500000012792170f13111335141113101310141013111336133513131236163314351732143517331435160e14341213150f150f1311131113111334170e14341335133513361600051700012a4814000d050000000000000000
TV,LG,LG2,VOLUME UP,Up,LG2,JgBUAAABKJcRFQ8WEzYSExMTExMPFhEUDzsTNxMSEjgRORE5EDoRORMSEDoSFBMTEhMQFREUEhQOORQTEjgTNxA6EDoSOBI5DwAFIwABJkwQAAYUCAANBQAAAAA=,260054000001289711150f1613361213131313130f1611140f3b13371312123811391139103a11391312103a1214131312131015111412140e39141312381337103a103a123812390f0005230001264c1000061408000d0500000000
TV,LG,LG2,VOLUME DOWN,Down,LG2,JgBYAAABJJcTFBAUEDsPFhAUEBQRFRQRDzoUNRMTFTUPOhI4FTQTNxM2FDYTExIUDxYQExISExMTEg8WETsVNRM2EzYTOBI4EwAFLwABJ00RAAxlAAEqShEADQU=,260058000001249713141014103b0f1610141014111514110f3a1435131315350f3a12381534133713361436131312140f1610131212131313120f16113b153513361336133812381300052f0001274d11000c6500012a4a11000d05
TV,LG,LG3,POWER ON,Power,LG3,JgBQAAABKJAVEBYQFTQUEhUQFBAYDhUPFDYWNRUQEzcXMxU2FDUUNhMTFBEUEBQ2ExMUERQQFBETNxU2FDUXDxQ1FzMTNxc0FAAFFAABJ0kVAA0FAAAAAAAAAAA=,2600500000012890151016101534141215101410180e150f1436163515101337173315361435143613131411141014361313141114101411133715361435170f1435173313371734140005140001274915000d050000000000000000
TV,LG,LG3,SOURCE,Source,LG3,JgBQAAABKJETEhMSEzcTExITFRATEhMSEzcTNxMTFDYSNxU1ETYUORI4EjgTEhM4ERMVEBMTEBQSExUQEzcTEhQ1FDcTNxM3EwAFGAABJ0kVAA0FAAAAAAAAAAA=,260050000001289113121312133713131213151013121312133713371313143612371535113614391238123813121338111315101313101412131510133713121435143713371337130005180001274915000d050000000000000000
TV,LG,LG3,VOLUME UP,Up,LG3,JgBQAAABJpMVERQRFjMTExYPFBEUEBQRFDcUNhQQFDYUNhM3FTUVNRQREzcVEhMSFBEUEBQRExMUNhQQFDYTNxU2FDYUNRczEwAFFwABKUcXAA0FAAAAAAAAAAA=,26005000000126931511141116331313160f141114101411143714361410143614361337153515351411133715121312141114101411131314361410143613371536143614351733130005170001294717000d050000000000000000
TV,LG,LG3,VOLUME DOWN,Down,LG3,JgBQAAABJZQSFBEUFDYTEhMTEhITExETEzcTNxMSEzcTNxM3FDYUNhE5ETkRFBEUFBETEhMSExITEhUSEzcTNxQ2EToQORE5EQAFGgABJEsYAA0FAAAAAAAAAAA=,260050000001259412141114143613121313121213131113133713371312133713371337143614361139113911141114141113121312131213121512133713371436113a103911391100051a0001244b18000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,POWER ON,On,UMC200,JgBQAAABKJISEhMSExIVEBITEjcVEBQRFDUSNxI3EjcSOBETEjcVEBMSFBATEhMSFDUSExUPExITNhY0FTQVNBQRFDUSNxI3EgAFTAABKUcVAA0FAAAAAAAAAAA=,26005000000128921212131213121510121312371510141114351237123712371238111312371510131214101312131214351213150f1312133616341534153414111435123712371200054c0001294715000d050000000000000000
AVRECEIVER,Emotiva,UMC 200,POWER OFF,Off,,JgBQAAABJpQTERMSFBETERMSFDYTEhEUEjcTNhQ1EzYUNRMSEzYSExMSEjcTERQRFBESExMRExIUNRQREjcTNxM2EzYTNhM2EwAFSwABJkkUAA0FAAAAAAAAAAA=,2600500000012694131113121411131113121436131211141237133614351336143513121336121313121237131114111411121313111312143514111237133713361336133613361300054b0001264914000d050000000000000000
